Time,X,Y,Orientation_Z,Orientation_W
2024-08-09 11:31:36,2.0428,0.025,0.2152,0.9766
2024-08-09 11:31:42,3.0083,0.9984,0.203,0.9792
2024-08-09 11:31:47,3.9911,1.9877,0.0056,1.0
2024-08-09 11:31:50,5.0157,2.0469,0.0024,1.0
2024-08-09 11:31:56,6.0906,2.0889,0.0217,0.9998
2024-08-09 11:32:00,7.2266,2.1301,-0.0175,0.9998
2024-08-09 11:32:04,8.7422,2.1719,-0.0205,0.9998
2024-08-09 11:32:10,10.205,2.087,0.015,0.9999
2024-08-09 11:32:13,12.0529,1.9289,-0.2443,0.9697
2024-08-09 11:32:17,13.4273,1.2215,-0.336,0.9419
2024-08-09 11:32:20,15.3663,0.6808,-0.3056,0.9522
2024-08-09 11:32:23,16.9977,-0.2822,0.0014,1.0
2024-08-09 11:32:28,18.4587,0.0708,0.5481,0.8364
2024-08-09 11:32:33,18.7244,2.0097,0.7227,0.6911
