Time,X,Y,Orientation_Z,Orientation_W
2024-08-08 16:07:45,2.1588,-0.0465,0.003,1.0
2024-08-08 16:07:48,4.0421,0.3514,0.2374,0.9714
2024-08-08 16:07:51,5.3737,1.0074,0.2124,0.9772
2024-08-08 16:07:53,6.8161,1.441,-0.0223,0.9998
2024-08-08 16:07:58,8.3409,1.6217,-0.0443,0.999
2024-08-08 16:08:01,10.4522,1.3104,-0.1058,0.9944
2024-08-08 16:08:03,11.725,0.9369,-0.1461,0.9893
2024-08-08 16:08:05,13.8591,0.2818,-0.2079,0.9782
2024-08-08 16:08:07,16.5612,0.1433,-0.0112,0.9999
2024-08-08 16:08:11,18.155,0.5933,0.5234,0.8521
