Time,X,Y,Orientation_Z,Orientation_W
2024-08-08 13:29:36,2.9562,0.1367,-0.0031,1.0
2024-08-08 13:29:40,4.8935,1.1323,0.2322,0.9727
2024-08-08 13:29:45,7.7354,1.6088,-0.0079,1.0
2024-08-08 13:29:52,9.6286,1.6993,-0.0031,1.0
2024-08-08 13:29:56,11.3953,1.7089,-0.118,0.993
2024-08-08 13:29:59,12.9575,1.5552,-0.3201,0.9474
2024-08-08 13:30:02,14.0211,0.8289,-0.3999,0.9166
2024-08-08 13:30:05,15.2487,-0.5153,-0.2612,0.9653
2024-08-08 13:30:08,17.6592,-0.3658,0.2339,0.9723
2024-08-08 13:30:12,18.1628,1.5852,0.7328,0.6805
