Time,X,Y,Orientation_Z,Orientation_W
2024-08-09 11:36:53,2.0566,1.0265,0.3535,0.9354
2024-08-09 11:37:01,3.0854,2.0353,0.0098,1.0
2024-08-09 11:37:05,4.9976,2.0504,-0.0023,1.0
2024-08-09 11:37:10,6.4751,2.1681,0.0133,0.9999
2024-08-09 11:37:14,7.9786,2.287,-0.0171,0.9999
2024-08-09 11:37:17,9.3214,2.3653,-0.1251,0.9921
2024-08-09 11:37:22,10.8574,2.2577,-0.1848,0.9828
2024-08-09 11:37:25,12.1036,1.7365,-0.2521,0.9677
2024-08-09 11:37:29,14.4247,0.6266,-0.3069,0.9518
2024-08-09 11:37:32,16.1069,-0.3824,-0.2468,0.9691
2024-08-09 11:37:35,17.7261,-1.27,0.0131,0.9999
2024-08-09 11:37:37,19.0874,-0.9254,0.7042,0.71
2024-08-09 11:37:40,18.681,1.7118,-0.9999,0.0124
