time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/05:30:49.398000,-0.299,0.0,0.0,0.0,0.0,0.4808
1970/01/01/05:30:49.499000,-0.297,0.0,0.0,0.0,0.0,0.5322
1970/01/01/05:30:49.599000,-0.294,0.0,0.0,0.0,0.0,0.5748
1970/01/01/05:30:49.698000,-0.292,0.0,0.0,0.0,0.0,0.608
1970/01/01/05:30:49.797000,-0.29,0.0,0.0,0.0,0.0,0.6324
1970/01/01/05:30:49.899000,-0.287,0.0,0.0,0.0,0.0,0.6486999999999999
1970/01/01/05:30:49.998000,-0.285,0.0,0.0,0.0,0.0,0.6576
1970/01/01/05:30:50.097000,-0.283,0.0,0.0,0.0,0.0,0.6592
1970/01/01/05:30:50.197000,-0.281,0.0,0.0,0.0,0.0,0.6521
1970/01/01/05:30:50.298000,-0.278,0.0,0.0,0.0,0.0,0.6377
1970/01/01/05:30:50.398000,-0.276,0.0,0.0,0.0,0.0,0.6154000000000001
1970/01/01/05:30:50.499000,-0.274,0.0,0.0,0.0,0.0,0.5845
1970/01/01/05:30:50.597000,-0.271,0.0,0.0,0.0,0.0,0.5439
1970/01/01/05:30:50.698000,-0.268,0.0,0.0,0.0,0.0,0.49420000000000003
1970/01/01/05:30:50.798000,-0.266,0.0,0.0,0.0,0.0,0.43670000000000003
1970/01/01/05:30:50.898000,-0.264,0.0,0.0,0.0,0.0,0.3703
1970/01/01/05:30:50.998000,-0.26,0.0,0.0,0.0,0.0,0.2927
1970/01/01/05:30:51.098000,-0.258,0.0,0.0,0.0,0.0,0.20590000000000003
1970/01/01/05:30:51.198000,-0.256,0.0,0.0,0.0,0.0,0.11110000000000003
1970/01/01/05:30:51.299000,-0.254,0.0,0.0,0.0,0.0,0.008700000000000027
1970/01/01/05:30:51.398000,-0.252,0.0,0.0,0.0,0.0,-0.10139999999999998
1970/01/01/05:30:51.497000,-0.251,0.0,0.0,0.0,0.0,-0.2163
1970/01/01/05:30:51.598000,-0.251,0.0,0.0,0.0,0.0,-0.3343
1970/01/01/05:30:51.698000,-0.252,0.0,0.0,0.0,0.0,-0.4541
1970/01/01/05:30:51.798000,-0.252,0.0,0.0,0.0,0.0,-0.5734
1970/01/01/05:30:51.898000,-0.254,0.0,0.0,0.0,0.0,-0.6901
1970/01/01/05:30:51.998000,-0.254,0.0,0.0,0.0,0.0,-0.8056000000000001
1970/01/01/05:30:52.099000,-0.256,0.0,0.0,0.0,0.0,-0.9185000000000001
1970/01/01/05:30:52.198000,-0.256,0.0,0.0,0.0,0.0,-1.0291000000000001
1970/01/01/05:30:52.298000,-0.256,0.0,0.0,0.0,0.0,-1.1374000000000002
1970/01/01/05:30:52.398000,-0.257,0.0,0.0,0.0,0.0,-1.2436000000000003
1970/01/01/05:30:52.508000,-0.258,0.0,0.0,0.0,0.0,-1.3472000000000002
1970/01/01/05:30:52.598000,-0.259,0.0,0.0,0.0,0.0,-1.4482000000000002
1970/01/01/05:30:52.698000,-0.259,0.0,0.0,0.0,0.0,-1.5469000000000002
1970/01/01/05:30:52.799000,-0.26,0.0,0.0,0.0,0.0,-1.6420000000000001
1970/01/01/05:30:52.899000,-0.261,0.0,0.0,0.0,0.0,-1.7345000000000002
1970/01/01/05:30:52.998000,-0.261,0.0,0.0,0.0,0.0,-1.8239
1970/01/01/05:30:53.098000,-0.262,0.0,0.0,0.0,0.0,-1.9106
1970/01/01/05:30:53.198000,-0.263,0.0,0.0,0.0,0.0,-1.9943
1970/01/01/05:30:53.298000,-0.264,0.0,0.0,0.0,0.0,-2.0736
1970/01/01/05:30:53.398000,-0.264,0.0,0.0,0.0,0.0,-2.1503
