time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:30:49.398000,1,0,0,,0.0587,0.299,0.09,0.1,-0.673,0.02,0.673,0.586,3.351
1970/01/01/05:30:49.499000,2,0,0,,0.0514,0.297,0.09,0.1,-0.673,0.02,0.673,0.597,3.327
1970/01/01/05:30:49.599000,3,0,0,,0.0426,0.294,0.09,0.1,-0.672,0.02,0.672,0.609,3.301
1970/01/01/05:30:49.698000,4,0,0,,0.0332,0.292,0.09,0.1,-0.671,0.02,0.671,0.622,3.275
1970/01/01/05:30:49.796000,5,0,0,,0.0244,0.29,0.09,0.1,-0.67,0.02,0.67,0.634,3.248
1970/01/01/05:30:49.899000,6,0,0,,0.0163,0.287,0.09,0.1,-0.669,0.02,0.669,0.645,3.222
1970/01/01/05:30:49.998000,7,0,0,,0.0089,0.285,0.09,0.1,-0.669,0.02,0.669,0.656,3.197
1970/01/01/05:30:50.097000,8,0,0,,0.0016,0.283,0.09,0.1,-0.668,0.02,0.668,0.666,3.173
1970/01/01/05:30:50.197000,9,0,0,,0.0071,0.281,0.09,0.1,-0.666,0.02,0.666,0.677,3.147
1970/01/01/05:30:50.298000,10,0,0,,0.0144,0.278,0.09,0.1,-0.665,0.02,0.665,0.687,3.121
1970/01/01/05:30:50.398000,11,0,0,,0.0223,0.276,0.09,0.1,-0.664,0.02,0.664,0.698,3.095
1970/01/01/05:30:50.498000,12,0,0,,0.0309,0.274,0.09,0.1,-0.662,0.02,0.662,0.709,3.069
1970/01/01/05:30:50.597000,13,0,0,,0.0406,0.271,0.09,0.1,-0.66,0.02,0.66,0.722,3.041
1970/01/01/05:30:50.698000,14,0,0,,0.0497,0.268,0.09,0.1,-0.658,0.02,0.658,0.734,3.013
1970/01/01/05:30:50.798000,15,0,0,,0.0575,0.266,0.09,0.1,-0.656,0.02,0.656,0.744,2.986
1970/01/01/05:30:50.898000,16,0,0,,0.0664,0.264,0.09,0.1,-0.654,0.02,0.654,0.756,2.959
1970/01/01/05:30:50.998000,17,0,0,,0.0776,0.26,0.09,0.1,-0.65,0.02,0.65,0.77,2.926
1970/01/01/05:30:51.098000,18,0,0,,0.0868,0.258,0.09,0.1,-0.645,0.02,0.645,0.78,2.9
1970/01/01/05:30:51.198000,19,0,0,,0.0948,0.256,0.09,0.1,-0.638,0.02,0.638,0.787,2.874
1970/01/01/05:30:51.299000,20,0,0,,0.1024,0.254,0.09,0.1,-0.63,0.02,0.63,0.793,2.85
1970/01/01/05:30:51.398000,21,0,0,,0.1101,0.252,0.09,0.1,-0.617,0.02,0.617,0.796,2.825
1970/01/01/05:30:51.497000,22,0,0,,0.1149,0.251,0.09,0.1,-0.606,0.02,0.606,0.796,2.81
1970/01/01/05:30:51.598000,23,0,0,,0.118,0.251,0.09,0.1,-0.594,0.02,0.594,0.793,2.801
1970/01/01/05:30:51.698000,24,0,0,,0.1198,0.252,0.09,0.1,-0.582,0.02,0.582,0.788,2.798
1970/01/01/05:30:51.798000,25,0,0,,0.1193,0.252,0.09,0.1,-0.571,0.02,0.571,0.78,2.801
1970/01/01/05:30:51.898000,26,0,0,,0.1167,0.254,0.09,0.1,-0.561,0.02,0.561,0.769,2.81
1970/01/01/05:30:51.998000,27,0,0,,0.1155,0.254,0.09,0.1,-0.55,0.02,0.55,0.76,2.816
1970/01/01/05:30:52.099000,28,0,0,,0.1129,0.256,0.09,0.1,-0.54,0.02,0.54,0.749,2.827
1970/01/01/05:30:52.198000,29,0,0,,0.1106,0.256,0.09,0.1,-0.529,0.02,0.529,0.738,2.835
1970/01/01/05:30:52.298000,30,0,0,,0.1083,0.256,0.09,0.1,-0.518,0.02,0.518,0.727,2.842
1970/01/01/05:30:52.398000,31,0,0,,0.1062,0.257,0.09,0.1,-0.508,0.02,0.508,0.717,2.85
1970/01/01/05:30:52.508000,32,0,0,,0.1036,0.258,0.09,0.1,-0.498,0.02,0.498,0.706,2.857
1970/01/01/05:30:52.598000,33,0,0,,0.101,0.259,0.09,0.1,-0.488,0.02,0.488,0.695,2.865
1970/01/01/05:30:52.698000,34,0,0,,0.0987,0.259,0.09,0.1,-0.477,0.02,0.477,0.684,2.872
1970/01/01/05:30:52.799000,35,0,0,,0.0951,0.26,0.09,0.1,-0.468,0.02,0.468,0.671,2.882
1970/01/01/05:30:52.899000,36,0,0,,0.0925,0.261,0.09,0.1,-0.458,0.02,0.458,0.66,2.888
1970/01/01/05:30:52.998000,37,0,0,,0.0894,0.261,0.09,0.1,-0.449,0.02,0.449,0.648,2.896
1970/01/01/05:30:53.098000,38,0,0,,0.0867,0.262,0.09,0.1,-0.438,0.02,0.438,0.636,2.903
1970/01/01/05:30:53.198000,39,0,0,,0.0837,0.263,0.09,0.1,-0.429,0.02,0.429,0.624,2.911
1970/01/01/05:30:53.298000,40,0,0,,0.0793,0.264,0.09,0.1,-0.421,0.02,0.421,0.609,2.922
1970/01/01/05:30:53.398000,41,0,0,,0.0767,0.264,0.09,0.1,-0.412,0.02,0.412,0.598,2.927
1970/01/01/05:30:53.497000,42,0,0,,0.0719,0.265,0.09,0.1,-0.403,0.02,0.403,0.581,2.937
1970/01/01/05:30:53.598000,43,0,0,,0.0671,0.267,0.09,0.1,-0.396,0.02,0.396,0.565,2.949
1970/01/01/05:30:53.698000,44,0,0,,0.0623,0.267,0.09,0.1,-0.388,0.02,0.388,0.548,2.957
1970/01/01/05:30:53.798000,45,0,0,,0.0566,0.268,0.09,0.1,-0.381,0.02,0.381,0.529,2.968
1970/01/01/05:30:53.899000,46,0,0,,0.0518,0.269,0.09,0.1,-0.374,0.02,0.374,0.512,2.976
1970/01/01/05:30:53.998000,47,0,0,,0.0475,0.269,0.09,0.1,-0.367,0.02,0.367,0.496,2.982
1970/01/01/05:30:54.098000,48,0,0,,0.0384,0.271,0.09,0.1,-0.364,0.02,0.364,0.468,2.997
1970/01/01/05:30:54.199000,49,0,0,,0.0367,0.27,0.09,0.1,-0.353,0.02,0.353,0.457,2.996
1970/01/01/05:30:54.298000,50,0,0,,0.0295,0.272,0.09,0.1,-0.35,0.02,0.35,0.433,3.006
1970/01/01/05:30:54.399000,51,0,0,,0.0228,0.272,0.09,0.1,-0.346,0.02,0.346,0.411,3.012
1970/01/01/05:30:54.498000,52,0,0,,0.0215,0.271,0.09,0.1,-0.336,0.02,0.336,0.4,3.009
