time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/05:36:03.135000,-0.184,0.0,0.0,0.0,0.0,14.521000000000003
1970/01/01/05:36:03.235000,-0.18,0.0,0.0,0.0,0.0,14.249200000000002
1970/01/01/05:36:03.335000,-0.177,0.0,0.0,0.0,0.0,13.965300000000003
1970/01/01/05:36:03.435000,-0.174,0.0,0.0,0.0,0.0,13.668900000000002
1970/01/01/05:36:03.535000,-0.171,0.0,0.0,0.0,0.0,13.362300000000003
1970/01/01/05:36:03.633000,-0.167,0.0,0.0,0.0,0.0,13.043700000000003
1970/01/01/05:36:03.734000,-0.164,0.0,0.0,0.0,0.0,12.713200000000002
1970/01/01/05:36:03.834000,-0.161,0.0,0.0,0.0,0.0,12.372600000000002
1970/01/01/05:36:03.935000,-0.158,0.0,0.0,0.0,0.0,12.021400000000002
1970/01/01/05:36:04.035000,-0.155,0.0,0.0,0.0,0.0,11.660500000000003
1970/01/01/05:36:04.135000,-0.152,0.0,0.0,0.0,0.0,11.290100000000002
1970/01/01/05:36:04.235000,-0.149,0.0,0.0,0.0,0.0,10.911200000000003
1970/01/01/05:36:04.334000,-0.146,0.0,0.0,0.0,0.0,10.523300000000003
1970/01/01/05:36:04.432000,-0.143,0.0,0.0,0.0,0.0,10.127200000000002
1970/01/01/05:36:04.533000,-0.14,0.0,0.0,0.0,0.0,9.723800000000002
1970/01/01/05:36:04.634000,-0.138,0.0,0.0,0.0,0.0,9.313200000000002
1970/01/01/05:36:04.735000,-0.135,0.0,0.0,0.0,0.0,8.895000000000001
1970/01/01/05:36:04.835000,-0.132,0.0,0.0,0.0,0.0,8.470600000000001
1970/01/01/05:36:04.935000,-0.13,0.0,0.0,0.0,0.0,8.0408
1970/01/01/05:36:05.034000,-0.127,0.0,0.0,0.0,0.0,7.604500000000001
1970/01/01/05:36:05.135000,-0.125,0.0,0.0,0.0,0.0,7.162300000000001
1970/01/01/05:36:05.234000,-0.122,0.0,0.0,0.0,0.0,6.714500000000001
1970/01/01/05:36:05.335000,-0.12,0.0,0.0,0.0,0.0,6.261700000000001
1970/01/01/05:36:05.435000,-0.118,0.0,0.0,0.0,0.0,5.804100000000001
1970/01/01/05:36:05.534000,-0.115,0.0,0.0,0.0,0.0,5.341200000000001
1970/01/01/05:36:05.636000,-0.113,0.0,0.0,0.0,0.0,4.8744000000000005
1970/01/01/05:36:05.735000,-0.11,0.0,0.0,0.0,0.0,4.4030000000000005
1970/01/01/05:36:05.835000,-0.108,0.0,0.0,0.0,0.0,3.9272000000000005
1970/01/01/05:36:05.935000,-0.106,0.0,0.0,0.0,0.0,3.4476000000000004
1970/01/01/05:36:06.035000,-0.104,0.0,0.0,0.0,0.0,2.9644000000000004
1970/01/01/05:36:06.134000,-0.102,0.0,0.0,0.0,0.0,2.4776000000000002
1970/01/01/05:36:06.235000,-0.1,0.0,0.0,0.0,0.0,1.9879000000000002
1970/01/01/05:36:06.335000,-0.098,0.0,0.0,0.0,0.0,1.4945000000000002
1970/01/01/05:36:06.434000,-0.096,0.0,0.0,0.0,0.0,0.9979000000000002
1970/01/01/05:36:06.534000,-0.094,0.0,0.0,0.0,0.0,0.4986000000000002
1970/01/01/05:36:06.635000,-0.092,0.0,0.0,0.0,0.0,-0.00359999999999977
1970/01/01/05:36:06.735000,-0.09,0.0,0.0,0.0,0.0,-0.5082999999999998
1970/01/01/05:36:06.835000,-0.091,0.0,0.0,0.0,0.0,-1.0117999999999996
1970/01/01/05:36:06.935000,-0.093,0.0,0.0,0.0,0.0,-1.5120999999999996
1970/01/01/05:36:07.034000,-0.094,0.0,0.0,0.0,0.0,-2.0085999999999995
1970/01/01/05:36:07.134000,-0.095,0.0,0.0,0.0,0.0,-2.5008999999999997
1970/01/01/05:36:07.234000,-0.096,0.0,0.0,0.0,0.0,-2.9888999999999997
1970/01/01/05:36:07.335000,-0.097,0.0,0.0,0.0,0.0,-3.4730999999999996
1970/01/01/05:36:07.434000,-0.098,0.0,0.0,0.0,0.0,-3.9534999999999996
1970/01/01/05:36:07.535000,-0.098,0.0,0.0,0.0,0.0,-4.4296999999999995
1970/01/01/05:36:07.634000,-0.099,0.0,0.0,0.0,0.0,-4.9017
1970/01/01/05:36:07.734000,-0.101,0.0,0.0,0.0,0.0,-5.3695
1970/01/01/05:36:07.834000,-0.102,0.0,0.0,0.0,0.0,-5.8331
1970/01/01/05:36:07.935000,-0.103,0.0,0.0,0.0,0.0,-6.2924999999999995
1970/01/01/05:36:08.035000,-0.103,0.0,0.0,0.0,0.0,-6.7478
1970/01/01/05:36:08.135000,-0.104,0.0,0.0,0.0,0.0,-7.1985
1970/01/01/05:36:08.235000,-0.105,0.0,0.0,0.0,0.0,-7.6455
1970/01/01/05:36:08.335000,-0.106,0.0,0.0,0.0,0.0,-8.088000000000001
1970/01/01/05:36:08.435000,-0.107,0.0,0.0,0.0,0.0,-8.5264
1970/01/01/05:36:08.535000,-0.108,0.0,0.0,0.0,0.0,-8.9603
1970/01/01/05:36:08.635000,-0.109,0.0,0.0,0.0,0.0,-9.3901
1970/01/01/05:36:08.734000,-0.11,0.0,0.0,0.0,0.0,-9.815
1970/01/01/05:36:08.835000,-0.111,0.0,0.0,0.0,0.0,-10.235299999999999
1970/01/01/05:36:08.934000,-0.112,0.0,0.0,0.0,0.0,-10.6512
1970/01/01/05:36:09.035000,-0.113,0.0,0.0,0.0,0.0,-11.063099999999999
1970/01/01/05:36:09.135000,-0.114,0.0,0.0,0.0,0.0,-11.470099999999999
