time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:32:56.424000,1,0,0,,0.3287,0.343,0.1,-0.828,-0.828,0.02,0.828,0.431,3.43
1970/01/01/05:32:56.523000,2,0,0,,0.3287,0.343,0.1,-0.828,-0.828,0.02,0.828,0.431,3.43
1970/01/01/05:32:56.624000,3,0,0,,0.3287,0.343,0.1,-0.828,-0.828,0.02,0.828,0.431,3.43
1970/01/01/05:32:56.724000,4,0,0,,0.3287,0.343,0.1,-0.828,-0.828,0.02,0.828,0.431,3.43
1970/01/01/05:32:56.823000,5,0,0,,0.3279,0.343,0.1,-0.828,-0.828,0.02,0.828,0.432,3.43
1970/01/01/05:32:56.922000,6,0,0,,0.3279,0.343,0.1,-0.828,-0.828,0.02,0.828,0.432,3.43
1970/01/01/05:32:57.024000,7,0,0,,0.3279,0.343,0.1,-0.828,-0.828,0.02,0.828,0.432,3.43
1970/01/01/05:32:57.124000,8,0,0,,0.3279,0.343,0.1,-0.828,-0.828,0.02,0.828,0.432,3.43
1970/01/01/05:32:57.224000,9,0,0,,0.3279,0.343,0.1,-0.828,-0.828,0.02,0.828,0.432,3.43
1970/01/01/05:32:57.324000,10,0,0,,0.3279,0.343,0.1,-0.828,-0.828,0.02,0.828,0.432,3.43
1970/01/01/05:32:57.425000,11,0,0,,0.3271,0.343,0.1,-0.828,-0.828,0.02,0.828,0.433,3.43
1970/01/01/05:32:57.524000,12,0,0,,0.3271,0.343,0.1,-0.828,-0.828,0.02,0.828,0.433,3.43
1970/01/01/05:32:57.623000,13,0,0,,0.3271,0.343,0.1,-0.828,-0.828,0.02,0.828,0.433,3.43
1970/01/01/05:32:57.723000,14,0,0,,0.3271,0.343,0.1,-0.828,-0.828,0.02,0.828,0.433,3.43
1970/01/01/05:32:57.825000,15,0,0,,0.3271,0.342,0.1,-0.828,-0.828,0.02,0.828,0.433,3.431
1970/01/01/05:32:57.924000,16,0,0,,0.3271,0.343,0.1,-0.828,-0.828,0.02,0.828,0.433,3.431
1970/01/01/05:32:58.024000,17,0,0,,0.3263,0.343,0.1,-0.828,-0.828,0.02,0.828,0.434,3.431
1970/01/01/05:32:58.121000,18,0,0,,0.3262,0.343,0.1,-0.828,-0.828,0.02,0.828,0.434,3.431
1970/01/01/05:32:58.223000,19,0,0,,0.3262,0.343,0.1,-0.828,-0.828,0.02,0.828,0.434,3.431
1970/01/01/05:32:58.324000,20,0,0,,0.3262,0.343,0.1,-0.828,-0.828,0.02,0.828,0.434,3.431
1970/01/01/05:32:58.423000,21,0,0,,0.3262,0.343,0.1,-0.828,-0.828,0.02,0.828,0.434,3.431
1970/01/01/05:32:58.522000,22,0,0,,0.3262,0.343,0.1,-0.828,-0.828,0.02,0.828,0.434,3.431
1970/01/01/05:32:58.624000,23,0,0,,0.3254,0.343,0.1,-0.828,-0.828,0.02,0.828,0.435,3.431
1970/01/01/05:32:58.723000,24,0,0,,0.3254,0.343,0.1,-0.828,-0.828,0.02,0.828,0.435,3.431
1970/01/01/05:33:02.559000,1,0,0,,0.3204,0.343,0.1,-0.828,-0.828,0.02,0.828,0.441,3.434
1970/01/01/05:33:02.659000,2,0,0,,0.3204,0.343,0.1,-0.828,-0.828,0.02,0.828,0.441,3.434
1970/01/01/05:33:02.760000,3,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:02.860000,4,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:02.958000,5,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.058000,6,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.160000,7,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.260000,8,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.359000,9,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.459000,10,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.556000,11,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.659000,12,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.759000,13,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.434
1970/01/01/05:33:03.859000,14,0,0,,0.3196,0.344,0.1,-0.828,-0.828,0.02,0.828,0.442,3.433
1970/01/01/05:33:03.958000,15,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.433
1970/01/01/05:33:04.058000,16,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.433
1970/01/01/05:33:04.159000,17,0,0,,0.3196,0.343,0.1,-0.828,-0.828,0.02,0.828,0.442,3.433
1970/01/01/05:33:18.986000,1,0,0,,0.3086,0.346,0.1,-0.827,-0.827,0.02,0.827,0.454,3.423
1970/01/01/05:33:19.087000,2,0,0,,0.3012,0.351,0.1,-0.827,-0.827,0.02,0.827,0.463,3.411
1970/01/01/05:33:19.187000,3,0,0,,0.2897,0.355,0.1,-0.827,-0.827,0.02,0.827,0.477,3.392
1970/01/01/05:33:19.287000,4,0,0,,0.2773,0.356,0.1,-0.827,-0.827,0.02,0.827,0.492,3.369
1970/01/01/05:33:19.386000,5,0,0,,0.2649,0.354,0.1,-0.827,-0.827,0.02,0.827,0.507,3.345
1970/01/01/05:33:19.485000,6,0,0,,0.2517,0.351,0.1,-0.827,-0.827,0.02,0.827,0.523,3.322
1970/01/01/05:33:19.586000,7,0,0,,0.2401,0.35,0.1,-0.827,-0.827,0.02,0.827,0.537,3.298
1970/01/01/05:33:19.685000,8,0,0,,0.2285,0.348,0.1,-0.827,-0.827,0.02,0.827,0.551,3.273
1970/01/01/05:33:19.786000,9,0,0,,0.2135,0.347,0.1,-0.826,-0.826,0.02,0.826,0.568,3.246
1970/01/01/05:33:19.887000,10,0,0,,0.2018,0.343,0.1,-0.826,-0.826,0.02,0.826,0.582,3.22
1970/01/01/05:33:19.987000,11,0,0,,0.1892,0.34,0.1,-0.825,-0.825,0.02,0.825,0.596,3.195
1970/01/01/05:33:20.087000,12,0,0,,0.1766,0.338,0.1,-0.824,-0.824,0.02,0.824,0.61,3.169
1970/01/01/05:33:20.185000,13,0,0,,0.1649,0.335,0.1,-0.823,-0.823,0.02,0.823,0.623,3.144
1970/01/01/05:33:20.287000,14,0,0,,0.1532,0.333,0.1,-0.822,-0.822,0.02,0.822,0.636,3.118
1970/01/01/05:33:20.386000,15,0,0,,0.1415,0.331,0.1,-0.821,-0.821,0.02,0.821,0.649,3.092
1970/01/01/05:33:20.487000,16,0,0,,0.1306,0.327,0.1,-0.82,-0.82,0.02,0.82,0.661,3.067
1970/01/01/05:33:20.586000,17,0,0,,0.1198,0.325,0.1,-0.819,-0.819,0.02,0.819,0.673,3.041
1970/01/01/05:33:20.687000,18,0,0,,0.1083,0.323,0.1,-0.818,-0.818,0.02,0.818,0.686,3.015
1970/01/01/05:33:20.787000,19,0,0,,0.0958,0.321,0.1,-0.816,-0.816,0.02,0.816,0.699,2.988
1970/01/01/05:33:20.887000,20,0,0,,0.0825,0.32,0.1,-0.814,-0.814,0.02,0.814,0.713,2.959
1970/01/01/05:33:20.987000,21,0,0,,0.0685,0.315,0.1,-0.811,-0.811,0.02,0.811,0.727,2.932
1970/01/01/05:33:21.087000,22,0,0,,0.0561,0.313,0.1,-0.809,-0.809,0.02,0.809,0.74,2.904
1970/01/01/05:33:21.187000,23,0,0,,0.0439,0.31,0.1,-0.807,-0.807,0.02,0.807,0.753,2.876
1970/01/01/05:33:21.286000,24,0,0,,0.0285,0.309,0.1,-0.803,-0.803,0.02,0.803,0.768,2.845
1970/01/01/05:33:21.386000,25,0,0,,0.0163,0.304,0.1,-0.8,-0.8,0.02,0.8,0.78,2.817
1970/01/01/05:33:21.486000,26,0,0,,0.0035,0.302,0.1,-0.797,-0.797,0.02,0.797,0.793,2.788
1970/01/01/05:33:21.587000,27,0,0,,0.0092,0.299,0.1,-0.794,-0.794,0.02,0.794,0.806,2.759
1970/01/01/05:33:21.686000,28,0,0,,0.0226,0.297,0.1,-0.79,-0.79,0.02,0.79,0.819,2.729
1970/01/01/05:33:21.786000,29,0,0,,0.0366,0.295,0.1,-0.786,-0.786,0.02,0.786,0.833,2.697
1970/01/01/05:33:21.887000,30,0,0,,0.0497,0.29,0.1,-0.782,-0.782,0.02,0.782,0.846,2.667
1970/01/01/05:33:21.987000,31,0,0,,0.0649,0.289,0.1,-0.777,-0.777,0.02,0.777,0.861,2.634
1970/01/01/05:33:22.085000,32,0,0,,0.0799,0.286,0.1,-0.772,-0.772,0.02,0.772,0.876,2.6
1970/01/01/05:33:22.186000,33,0,0,,0.0926,0.281,0.1,-0.768,-0.768,0.02,0.768,0.889,2.568
1970/01/01/05:33:22.287000,34,0,0,,0.1072,0.279,0.1,-0.763,-0.763,0.02,0.763,0.904,2.534
1970/01/01/05:33:22.388000,35,0,0,,0.123,0.276,0.1,-0.757,-0.757,0.02,0.757,0.92,2.499
1970/01/01/05:33:22.486000,36,0,0,,0.1392,0.275,0.1,-0.751,-0.751,0.02,0.751,0.937,2.46
1970/01/01/05:33:22.585000,37,0,0,,0.1545,0.271,0.1,-0.745,-0.745,0.02,0.745,0.953,2.422
1970/01/01/05:33:22.687000,38,0,0,,0.1719,0.27,0.1,-0.737,-0.737,0.02,0.737,0.971,2.379
1970/01/01/05:33:22.787000,39,0,0,,0.1893,0.266,0.1,-0.73,-0.73,0.02,0.73,0.99,2.335
1970/01/01/05:33:22.886000,40,0,0,,0.2027,0.257,0.1,-0.723,-0.723,0.02,0.723,1.004,2.298
1970/01/01/05:33:22.986000,41,0,0,,0.2193,0.257,0.1,-0.716,-0.716,0.02,0.716,1.023,2.254
1970/01/01/05:33:23.087000,42,0,0,,0.2359,0.255,0.1,-0.708,-0.708,0.02,0.708,1.042,2.206
1970/01/01/05:33:23.186000,43,0,0,,0.2535,0.251,0.1,-0.7,-0.7,0.02,0.7,1.063,2.156
1970/01/01/05:33:23.286000,44,0,0,,0.2693,0.245,0.1,-0.692,-0.692,0.02,0.692,1.082,2.107
1970/01/01/05:33:23.386000,45,0,0,,0.2824,0.235,0.1,-0.685,-0.685,0.02,0.685,1.098,2.065
1970/01/01/05:33:23.487000,46,0,0,,0.2967,0.233,0.1,-0.677,-0.677,0.02,0.677,1.116,2.019
1970/01/01/05:33:23.586000,47,0,0,,0.3112,0.23,0.1,-0.669,-0.669,0.02,0.669,1.135,1.969
1970/01/01/05:33:23.686000,48,0,0,,0.3247,0.224,0.1,-0.661,-0.661,0.02,0.661,1.153,1.92
1970/01/01/05:33:23.787000,49,0,0,,0.3384,0.219,0.1,-0.653,-0.653,0.02,0.653,1.172,1.871
1970/01/01/05:33:23.887000,50,0,0,,0.3509,0.213,0.1,-0.646,-0.646,0.02,0.646,1.19,1.823
1970/01/01/05:33:23.987000,51,0,0,,0.3625,0.208,0.1,-0.638,-0.638,0.02,0.638,1.207,1.775
1970/01/01/05:33:24.087000,52,0,0,,0.3695,0.195,0.1,-0.629,-0.629,0.02,0.629,1.217,1.742
1970/01/01/05:33:24.187000,53,0,0,,0.3706,0.182,0.1,-0.617,-0.617,0.02,0.617,1.218,1.727
1970/01/01/05:33:24.286000,54,0,0,,0.3635,0.167,0.1,-0.6,-0.6,0.02,0.6,1.206,1.739
1970/01/01/05:33:24.386000,55,0,0,,0.3564,0.165,0.1,-0.59,-0.59,0.02,0.59,1.194,1.757
1970/01/01/05:33:24.487000,56,0,0,,0.3505,0.167,0.1,-0.584,-0.584,0.02,0.584,1.184,1.774
1970/01/01/05:33:24.587000,57,0,0,,0.3446,0.169,0.1,-0.578,-0.578,0.02,0.578,1.174,1.792
1970/01/01/05:33:24.686000,58,0,0,,0.3409,0.175,0.1,-0.571,-0.571,0.02,0.571,1.168,1.8
1970/01/01/05:33:24.787000,59,0,0,,0.3367,0.176,0.1,-0.563,-0.563,0.02,0.563,1.161,1.808
1970/01/01/05:33:24.886000,60,0,0,,0.3309,0.173,0.1,-0.557,-0.557,0.02,0.557,1.151,1.825
1970/01/01/05:33:24.987000,61,0,0,,0.3256,0.176,0.1,-0.55,-0.55,0.02,0.55,1.142,1.84
1970/01/01/05:33:25.086000,62,0,0,,0.3214,0.18,0.1,-0.542,-0.542,0.02,0.542,1.135,1.848
1970/01/01/05:33:25.185000,63,0,0,,0.3163,0.179,0.1,-0.536,-0.536,0.02,0.536,1.126,1.862
1970/01/01/05:33:25.286000,64,0,0,,0.3111,0.18,0.1,-0.529,-0.529,0.02,0.529,1.117,1.876
1970/01/01/05:33:25.387000,65,0,0,,0.3068,0.184,0.1,-0.521,-0.521,0.02,0.521,1.11,1.884
1970/01/01/05:33:25.487000,66,0,0,,0.3013,0.182,0.1,-0.514,-0.514,0.02,0.514,1.1,1.899
1970/01/01/05:33:25.587000,67,0,0,,0.297,0.186,0.1,-0.506,-0.506,0.02,0.506,1.093,1.909
1970/01/01/05:33:25.687000,68,0,0,,0.2915,0.185,0.1,-0.499,-0.499,0.02,0.499,1.083,1.923
1970/01/01/05:33:25.787000,69,0,0,,0.2866,0.189,0.1,-0.49,-0.49,0.02,0.49,1.075,1.932
1970/01/01/05:33:25.887000,70,0,0,,0.2821,0.189,0.1,-0.483,-0.483,0.02,0.483,1.067,1.944
1970/01/01/05:33:25.985000,71,0,0,,0.2769,0.19,0.1,-0.475,-0.475,0.02,0.475,1.058,1.955
1970/01/01/05:33:26.086000,72,0,0,,0.2723,0.192,0.1,-0.467,-0.467,0.02,0.467,1.05,1.965
1970/01/01/05:33:26.187000,73,0,0,,0.2672,0.193,0.1,-0.459,-0.459,0.02,0.459,1.041,1.976
1970/01/01/05:33:26.288000,74,0,0,,0.2625,0.193,0.1,-0.451,-0.451,0.02,0.451,1.033,1.988
1970/01/01/05:33:26.387000,75,0,0,,0.2574,0.195,0.1,-0.443,-0.443,0.02,0.443,1.024,1.998
1970/01/01/05:33:26.487000,76,0,0,,0.2523,0.196,0.1,-0.435,-0.435,0.02,0.435,1.015,2.009
1970/01/01/05:33:26.587000,77,0,0,,0.2477,0.198,0.1,-0.427,-0.427,0.02,0.427,1.007,2.018
1970/01/01/05:33:26.687000,78,0,0,,0.243,0.198,0.1,-0.419,-0.419,0.02,0.419,0.999,2.029
1970/01/01/05:33:26.784000,79,0,0,,0.2382,0.2,0.1,-0.41,-0.41,0.02,0.41,0.991,2.037
1970/01/01/05:33:26.885000,80,0,0,,0.2328,0.2,0.1,-0.402,-0.402,0.02,0.402,0.981,2.049
1970/01/01/05:33:26.988000,81,0,0,,0.2281,0.202,0.1,-0.394,-0.394,0.02,0.394,0.973,2.058
1970/01/01/05:33:27.086000,82,0,0,,0.2233,0.203,0.1,-0.385,-0.385,0.02,0.385,0.965,2.067
1970/01/01/05:33:27.186000,83,0,0,,0.2183,0.204,0.1,-0.377,-0.377,0.02,0.377,0.956,2.077
1970/01/01/05:33:27.286000,84,0,0,,0.2131,0.205,0.1,-0.368,-0.368,0.02,0.368,0.947,2.087
1970/01/01/05:33:27.387000,85,0,0,,0.2081,0.206,0.1,-0.36,-0.36,0.02,0.36,0.938,2.096
1970/01/01/05:33:27.487000,86,0,0,,0.2032,0.207,0.1,-0.351,-0.351,0.02,0.351,0.93,2.106
1970/01/01/05:33:27.587000,87,0,0,,0.198,0.208,0.1,-0.342,-0.342,0.02,0.342,0.921,2.115
1970/01/01/05:33:27.685000,88,0,0,,0.1928,0.21,0.1,-0.333,-0.333,0.02,0.333,0.912,2.123
1970/01/01/05:33:27.787000,89,0,0,,0.1879,0.21,0.1,-0.324,-0.324,0.02,0.324,0.904,2.132
1970/01/01/05:33:27.885000,90,0,0,,0.183,0.211,0.1,-0.315,-0.315,0.02,0.315,0.896,2.14
1970/01/01/05:33:27.985000,91,0,0,,0.1778,0.212,0.1,-0.306,-0.306,0.02,0.306,0.887,2.148
1970/01/01/05:33:28.087000,92,0,0,,0.1728,0.213,0.1,-0.297,-0.297,0.02,0.297,0.879,2.155
1970/01/01/05:33:28.187000,93,0,0,,0.1676,0.214,0.1,-0.288,-0.288,0.02,0.288,0.87,2.164
1970/01/01/05:33:28.287000,94,0,0,,0.1626,0.215,0.1,-0.279,-0.279,0.02,0.279,0.862,2.17
1970/01/01/05:33:28.385000,95,0,0,,0.1573,0.216,0.1,-0.269,-0.269,0.02,0.269,0.854,2.178
1970/01/01/05:33:28.486000,96,0,0,,0.1523,0.217,0.1,-0.26,-0.26,0.02,0.26,0.846,2.185
1970/01/01/05:33:28.587000,97,0,0,,0.1471,0.217,0.1,-0.251,-0.251,0.02,0.251,0.837,2.192
1970/01/01/05:33:28.686000,98,0,0,,0.1418,0.218,0.1,-0.242,-0.242,0.02,0.242,0.828,2.2
1970/01/01/05:33:28.786000,99,0,0,,0.1364,0.219,0.1,-0.232,-0.232,0.02,0.232,0.82,2.206
1970/01/01/05:33:28.887000,100,0,0,,0.1313,0.22,0.1,-0.223,-0.223,0.02,0.223,0.812,2.214
1970/01/01/05:33:28.986000,101,0,0,,0.1264,0.221,0.1,-0.215,-0.215,0.02,0.215,0.803,2.221
1970/01/01/05:33:29.086000,102,0,0,,0.1209,0.221,0.1,-0.205,-0.205,0.02,0.205,0.795,2.227
1970/01/01/05:33:29.188000,103,0,0,,0.1156,0.222,0.1,-0.196,-0.196,0.02,0.196,0.786,2.234
1970/01/01/05:33:29.286000,104,0,0,,0.1105,0.223,0.1,-0.187,-0.187,0.02,0.187,0.778,2.241
1970/01/01/05:33:29.389000,105,0,0,,0.1052,0.224,0.1,-0.178,-0.178,0.02,0.178,0.769,2.248
1970/01/01/05:33:29.485000,106,0,0,,0.0997,0.224,0.1,-0.169,-0.169,0.02,0.169,0.759,2.257
1970/01/01/05:33:29.586000,107,0,0,,0.0944,0.225,0.1,-0.16,-0.16,0.02,0.16,0.75,2.264
1970/01/01/05:33:29.688000,108,0,0,,0.0891,0.226,0.1,-0.151,-0.151,0.02,0.151,0.741,2.271
1970/01/01/05:33:29.787000,109,0,0,,0.0841,0.227,0.1,-0.143,-0.143,0.02,0.143,0.731,2.279
1970/01/01/05:33:29.887000,110,0,0,,0.0783,0.228,0.1,-0.133,-0.133,0.02,0.133,0.722,2.286
1970/01/01/05:33:29.987000,111,0,0,,0.0729,0.228,0.1,-0.124,-0.124,0.02,0.124,0.712,2.292
1970/01/01/05:33:30.088000,112,0,0,,0.0676,0.229,0.1,-0.115,-0.115,0.02,0.115,0.703,2.299
1970/01/01/05:33:30.188000,113,0,0,,0.0618,0.23,0.1,-0.105,-0.105,0.02,0.105,0.694,2.305
1970/01/01/05:33:30.287000,114,0,0,,0.0569,0.231,0.1,-0.097,-0.097,0.02,0.097,0.683,2.313
1970/01/01/05:33:30.413000,115,0,0,,0.0519,0.231,0.1,-0.089,-0.089,0.02,0.089,0.672,2.323
1970/01/01/05:33:30.488000,116,0,0,,0.0465,0.232,0.1,-0.08,-0.08,0.02,0.08,0.661,2.329
1970/01/01/05:33:30.587000,117,0,0,,0.0442,0.233,0.1,-0.077,-0.077,0.02,0.077,0.648,2.343
1970/01/01/05:33:30.686000,118,0,0,,0.0412,0.234,0.1,-0.072,-0.072,0.02,0.072,0.645,2.342
1970/01/01/05:33:30.786000,119,0,0,,0.0393,0.234,0.1,-0.069,-0.069,0.02,0.069,0.637,2.339
1970/01/01/05:33:30.887000,120,0,0,,0.0388,0.234,0.1,-0.069,-0.069,0.02,0.069,0.629,2.342
1970/01/01/05:33:30.987000,121,0,0,,0.037,0.234,0.1,-0.066,-0.066,0.02,0.066,0.626,2.337
1970/01/01/05:33:31.087000,122,0,0,,0.0344,0.233,0.1,-0.061,-0.061,0.02,0.061,0.628,2.326
1970/01/01/05:33:31.187000,123,0,0,,0.033,0.232,0.1,-0.058,-0.058,0.02,0.058,0.628,2.319
1970/01/01/05:33:31.288000,124,0,0,,0.0328,0.232,0.1,-0.058,-0.058,0.02,0.058,0.62,2.32
1970/01/01/05:33:31.387000,125,0,0,,0.0318,0.232,0.1,-0.057,-0.057,0.02,0.057,0.613,2.321
1970/01/01/05:33:31.488000,126,0,0,,0.0291,0.232,0.1,-0.052,-0.052,0.02,0.052,0.614,2.31
1970/01/01/05:33:31.587000,127,0,0,,0.0271,0.231,0.1,-0.048,-0.048,0.02,0.048,0.615,2.301
1970/01/01/05:33:31.687000,128,0,0,,0.027,0.23,0.1,-0.048,-0.048,0.02,0.048,0.608,2.302
