time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:35:56.835000,1,356,835000000,,-0.4894,0.312,0.09,0.1,-0.858,0.02,0,-0.288,-3.473
1970/01/01/05:35:56.935000,2,356,935000000,,-0.477,0.31,0.09,0.1,-0.859,0.02,0,-0.304,-3.461
1970/01/01/05:35:57.034000,3,357,34000000,,-0.4625,0.309,0.09,0.1,-0.859,0.02,0,-0.321,-3.449
1970/01/01/05:35:57.135000,4,357,135000000,,-0.4523,0.308,0.09,0.1,-0.861,0.02,0,-0.336,-3.436
1970/01/01/05:35:57.235000,5,357,235000000,,-0.4386,0.307,0.09,0.1,-0.861,0.02,0,-0.352,-3.423
1970/01/01/05:35:57.335000,6,357,335000000,,-0.427,0.305,0.09,0.1,-0.862,0.02,0,-0.367,-3.409
1970/01/01/05:35:57.433000,7,357,433000000,,-0.4162,0.304,0.09,0.1,-0.863,0.02,0,-0.381,-3.395
1970/01/01/05:35:57.533000,8,357,533000000,,-0.4033,0.303,0.09,0.1,-0.863,0.02,0,-0.396,-3.379
1970/01/01/05:35:57.635000,9,357,635000000,,-0.3917,0.301,0.09,0.1,-0.864,0.02,0,-0.411,-3.364
1970/01/01/05:35:57.734000,10,357,734000000,,-0.3796,0.3,0.09,0.1,-0.864,0.02,0,-0.425,-3.347
1970/01/01/05:35:57.835000,11,357,834000000,,-0.3696,0.298,0.09,0.1,-0.865,0.02,0,-0.438,-3.331
1970/01/01/05:35:57.935000,12,357,935000000,,-0.3584,0.297,0.09,0.1,-0.865,0.02,0,-0.451,-3.314
1970/01/01/05:35:58.035000,13,358,34000000,,-0.3463,0.295,0.09,0.1,-0.865,0.02,0,-0.465,-3.297
1970/01/01/05:35:58.135000,14,358,135000000,,-0.335,0.293,0.09,0.1,-0.865,0.02,0,-0.478,-3.28
1970/01/01/05:35:58.235000,15,358,234000000,,-0.3258,0.292,0.09,0.1,-0.866,0.02,0,-0.49,-3.262
1970/01/01/05:35:58.335000,16,358,334000000,,-0.3134,0.29,0.09,0.1,-0.865,0.02,0,-0.503,-3.244
1970/01/01/05:35:58.435000,17,358,434000000,,-0.3042,0.289,0.09,0.1,-0.866,0.02,0,-0.515,-3.226
1970/01/01/05:35:58.534000,18,358,534000000,,-0.2926,0.287,0.09,0.1,-0.865,0.02,0,-0.527,-3.208
1970/01/01/05:35:58.635000,19,358,635000000,,-0.2822,0.285,0.09,0.1,-0.865,0.02,0,-0.539,-3.189
1970/01/01/05:35:58.735000,20,358,734000000,,-0.2727,0.284,0.09,0.1,-0.865,0.02,0,-0.55,-3.171
1970/01/01/05:35:58.835000,21,358,835000000,,-0.2623,0.282,0.09,0.1,-0.865,0.02,0,-0.562,-3.152
1970/01/01/05:35:58.933000,22,358,933000000,,-0.2528,0.28,0.09,0.1,-0.865,0.02,0,-0.573,-3.133
1970/01/01/05:35:59.033000,23,359,33000000,,-0.2422,0.278,0.09,0.1,-0.864,0.02,0,-0.584,-3.114
1970/01/01/05:35:59.135000,24,359,134000000,,-0.2326,0.276,0.09,0.1,-0.864,0.02,0,-0.595,-3.094
1970/01/01/05:35:59.234000,25,359,234000000,,-0.222,0.275,0.09,0.1,-0.863,0.02,0,-0.606,-3.075
1970/01/01/05:35:59.335000,26,359,335000000,,-0.2106,0.273,0.09,0.1,-0.862,0.02,0,-0.618,-3.055
1970/01/01/05:35:59.435000,27,359,434000000,,-0.1983,0.271,0.09,0.1,-0.861,0.02,0,-0.631,-3.032
1970/01/01/05:35:59.535000,28,359,535000000,,-0.1877,0.269,0.09,0.1,-0.86,0.02,0,-0.642,-3.011
1970/01/01/05:35:59.635000,29,359,635000000,,-0.1764,0.267,0.09,0.1,-0.859,0.02,0,-0.654,-2.99
1970/01/01/05:35:59.735000,30,359,734000000,,-0.1658,0.265,0.09,0.1,-0.858,0.02,0,-0.665,-2.969
1970/01/01/05:35:59.835000,31,359,835000000,,-0.1543,0.263,0.09,0.1,-0.856,0.02,0,-0.676,-2.949
1970/01/01/05:35:59.934000,32,359,934000000,,-0.1447,0.261,0.09,0.1,-0.855,0.02,0,-0.686,-2.928
1970/01/01/05:36:00.035000,33,360,34000000,,-0.1378,0.26,0.09,0.1,-0.855,0.02,0,-0.694,-2.911
1970/01/01/05:36:00.135000,34,360,135000000,,-0.1273,0.258,0.09,0.1,-0.853,0.02,0,-0.704,-2.89
1970/01/01/05:36:00.235000,35,360,234000000,,-0.1152,0.256,0.09,0.1,-0.851,0.02,0,-0.716,-2.868
1970/01/01/05:36:00.335000,36,360,335000000,,-0.1004,0.254,0.09,0.1,-0.848,0.02,0,-0.73,-2.846
1970/01/01/05:36:00.435000,37,360,434000000,,-0.0908,0.252,0.09,0.1,-0.847,0.02,0,-0.74,-2.825
1970/01/01/05:36:00.535000,38,360,535000000,,-0.0805,0.25,0.09,0.1,-0.845,0.02,0,-0.75,-2.804
1970/01/01/05:36:00.634000,39,360,634000000,,-0.0702,0.248,0.09,0.1,-0.843,0.02,0,-0.76,-2.783
1970/01/01/05:36:00.734000,40,360,734000000,,-0.0591,0.246,0.09,0.1,-0.841,0.02,0,-0.771,-2.762
1970/01/01/05:36:00.835000,41,360,835000000,,-0.048,0.244,0.09,0.1,-0.838,0.02,0,-0.781,-2.74
1970/01/01/05:36:00.935000,42,360,935000000,,-0.037,0.242,0.09,0.1,-0.835,0.02,0,-0.791,-2.718
1970/01/01/05:36:01.035000,43,361,35000000,,-0.0261,0.24,0.09,0.1,-0.833,0.02,0,-0.802,-2.696
1970/01/01/05:36:01.135000,44,361,135000000,,-0.0144,0.238,0.09,0.1,-0.83,0.02,0,-0.813,-2.674
1970/01/01/05:36:01.235000,45,361,235000000,,-0.0028,0.236,0.09,0.1,-0.827,0.02,0,-0.824,-2.65
1970/01/01/05:36:01.334000,46,361,333000000,,0.0104,0.234,0.09,0.1,-0.823,0.02,0,-0.836,-2.626
1970/01/01/05:36:01.433000,47,361,432000000,,0.0226,0.232,0.09,0.1,-0.819,0.02,0,-0.847,-2.601
1970/01/01/05:36:01.535000,48,361,534000000,,0.0379,0.229,0.09,0.1,-0.815,0.02,0,-0.862,-2.574
1970/01/01/05:36:01.635000,49,361,634000000,,0.0508,0.227,0.09,0.1,-0.811,0.02,0,-0.874,-2.548
1970/01/01/05:36:01.735000,50,361,734000000,,0.0657,0.224,0.09,0.1,-0.806,0.02,0,-0.888,-2.519
1970/01/01/05:36:01.835000,51,361,835000000,,0.0783,0.222,0.09,0.1,-0.802,0.02,0,-0.9,-2.494
1970/01/01/05:36:01.935000,52,361,935000000,,0.0921,0.219,0.09,0.1,-0.797,0.02,0,-0.913,-2.465
1970/01/01/05:36:02.034000,53,362,34000000,,0.1065,0.216,0.09,0.1,-0.792,0.02,0,-0.927,-2.435
1970/01/01/05:36:02.135000,54,362,134000000,,0.1222,0.213,0.09,0.1,-0.786,0.02,0,-0.942,-2.403
1970/01/01/05:36:02.234000,55,362,234000000,,0.1355,0.211,0.09,0.1,-0.781,0.02,0,-0.955,-2.375
1970/01/01/05:36:02.334000,56,362,334000000,,0.1515,0.207,0.09,0.1,-0.775,0.02,0,-0.971,-2.339
1970/01/01/05:36:02.435000,57,362,434000000,,0.1665,0.204,0.09,0.1,-0.769,0.02,0,-0.986,-2.307
1970/01/01/05:36:02.535000,58,362,534000000,,0.1812,0.201,0.09,0.1,-0.763,0.02,0,-1.001,-2.273
1970/01/01/05:36:02.635000,59,362,635000000,,0.1942,0.199,0.09,0.1,-0.757,0.02,0,-1.014,-2.242
1970/01/01/05:36:02.735000,60,362,734000000,,0.2072,0.196,0.09,0.1,-0.752,0.02,0,-1.028,-2.209
1970/01/01/05:36:02.834000,61,362,834000000,,0.2219,0.192,0.09,0.1,-0.746,0.02,0,-1.044,-2.174
1970/01/01/05:36:02.934000,62,362,934000000,,0.2342,0.19,0.09,0.1,-0.74,0.02,0,-1.057,-2.142
1970/01/01/05:36:03.034000,63,363,34000000,,0.2462,0.187,0.09,0.1,-0.734,0.02,0,-1.07,-2.11
1970/01/01/05:36:03.135000,64,363,134000000,,0.2581,0.184,0.09,0.1,-0.728,0.02,0,-1.083,-2.079
1970/01/01/05:36:03.235000,65,363,235000000,,0.2718,0.18,0.09,0.1,-0.722,0.02,0,-1.099,-2.041
1970/01/01/05:36:03.335000,66,363,334000000,,0.2839,0.177,0.09,0.1,-0.716,0.02,0,-1.113,-2.006
1970/01/01/05:36:03.435000,67,363,434000000,,0.2964,0.174,0.09,0.1,-0.71,0.02,0,-1.128,-1.97
1970/01/01/05:36:03.535000,68,363,535000000,,0.3066,0.171,0.09,0.1,-0.704,0.02,0,-1.14,-1.938
1970/01/01/05:36:03.633000,69,363,633000000,,0.3186,0.167,0.09,0.1,-0.698,0.02,0,-1.155,-1.901
1970/01/01/05:36:03.734000,70,363,734000000,,0.3305,0.164,0.09,0.1,-0.691,0.02,0,-1.17,-1.864
1970/01/01/05:36:03.834000,71,363,834000000,,0.3406,0.161,0.09,0.1,-0.686,0.02,0,-1.183,-1.829
1970/01/01/05:36:03.935000,72,363,935000000,,0.3512,0.158,0.09,0.1,-0.68,0.02,0,-1.197,-1.793
1970/01/01/05:36:04.035000,73,364,35000000,,0.3609,0.155,0.09,0.1,-0.674,0.02,0,-1.21,-1.759
1970/01/01/05:36:04.135000,74,364,135000000,,0.3704,0.152,0.09,0.1,-0.668,0.02,0,-1.223,-1.725
1970/01/01/05:36:04.235000,75,364,235000000,,0.3789,0.149,0.09,0.1,-0.663,0.02,0,-1.235,-1.692
1970/01/01/05:36:04.334000,76,364,334000000,,0.3879,0.146,0.09,0.1,-0.657,0.02,0,-1.248,-1.659
1970/01/01/05:36:04.432000,77,364,432000000,,0.3961,0.143,0.09,0.1,-0.652,0.02,0,-1.26,-1.626
1970/01/01/05:36:04.533000,78,364,533000000,,0.4034,0.14,0.09,0.1,-0.647,0.02,0,-1.271,-1.594
1970/01/01/05:36:04.634000,79,364,634000000,,0.4106,0.138,0.09,0.1,-0.642,0.02,0,-1.282,-1.564
1970/01/01/05:36:04.735000,80,364,735000000,,0.4182,0.135,0.09,0.1,-0.637,0.02,0,-1.294,-1.532
1970/01/01/05:36:04.835000,81,364,834000000,,0.4244,0.132,0.09,0.1,-0.632,0.02,0,-1.304,-1.503
1970/01/01/05:36:04.935000,82,364,935000000,,0.4298,0.13,0.09,0.1,-0.627,0.02,0,-1.313,-1.476
1970/01/01/05:36:05.034000,83,365,34000000,,0.4363,0.127,0.09,0.1,-0.622,0.02,0,-1.324,-1.446
1970/01/01/05:36:05.135000,84,365,135000000,,0.4422,0.125,0.09,0.1,-0.618,0.02,0,-1.334,-1.418
1970/01/01/05:36:05.234000,85,365,234000000,,0.4478,0.122,0.09,0.1,-0.613,0.02,0,-1.344,-1.39
1970/01/01/05:36:05.334000,86,365,334000000,,0.4528,0.12,0.09,0.1,-0.609,0.02,0,-1.353,-1.362
