time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:31:12.296000,332,0,0,,0.0159,0.144,0.09,0.1,0.065,0.02,0.065,0.18,1.615
1970/01/01/05:31:12.394000,333,0,0,,0.0157,0.144,0.09,0.1,0.065,0.02,0.065,0.177,1.607
1970/01/01/05:31:12.494000,334,0,0,,0.0159,0.143,0.09,0.1,0.066,0.02,0.066,0.175,1.598
1970/01/01/05:31:12.596000,335,0,0,,0.0165,0.142,0.09,0.1,0.068,0.02,0.068,0.174,1.59
1970/01/01/05:31:12.695000,336,0,0,,0.0162,0.142,0.09,0.1,0.068,0.02,0.068,0.171,1.582
1970/01/01/05:31:12.796000,337,0,0,,0.0164,0.141,0.09,0.1,0.069,0.02,0.069,0.169,1.574
1970/01/01/05:31:12.894000,338,0,0,,0.0166,0.14,0.09,0.1,0.07,0.02,0.07,0.167,1.564
1970/01/01/05:31:12.996000,339,0,0,,0.0167,0.139,0.09,0.1,0.071,0.02,0.071,0.165,1.556
1970/01/01/05:31:13.095000,340,0,0,,0.0166,0.139,0.09,0.1,0.071,0.02,0.071,0.163,1.548
1970/01/01/05:31:13.195000,341,0,0,,0.0171,0.138,0.09,0.1,0.073,0.02,0.073,0.161,1.539
1970/01/01/05:31:13.296000,342,0,0,,0.0172,0.137,0.09,0.1,0.074,0.02,0.074,0.159,1.529
1970/01/01/05:31:13.396000,343,0,0,,0.0171,0.136,0.09,0.1,0.074,0.02,0.074,0.157,1.52
1970/01/01/05:31:13.496000,344,0,0,,0.0172,0.135,0.09,0.1,0.075,0.02,0.075,0.155,1.512
1970/01/01/05:31:13.596000,345,0,0,,0.0174,0.134,0.09,0.1,0.076,0.02,0.076,0.153,1.503
1970/01/01/05:31:13.695000,346,0,0,,0.0175,0.134,0.09,0.1,0.077,0.02,0.077,0.151,1.495
1970/01/01/05:31:13.794000,347,0,0,,0.0174,0.133,0.09,0.1,0.077,0.02,0.077,0.149,1.487
1970/01/01/05:31:13.894000,348,0,0,,0.018,0.132,0.09,0.1,0.079,0.02,0.079,0.148,1.477
1970/01/01/05:31:13.994000,349,0,0,,0.0176,0.131,0.09,0.1,0.079,0.02,0.079,0.145,1.469
1970/01/01/05:31:14.095000,350,0,0,,0.0178,0.13,0.09,0.1,0.08,0.02,0.08,0.143,1.46
1970/01/01/05:31:14.195000,351,0,0,,0.0181,0.13,0.09,0.1,0.081,0.02,0.081,0.142,1.452
1970/01/01/05:31:14.296000,352,0,0,,0.0183,0.129,0.09,0.1,0.082,0.02,0.082,0.141,1.443
1970/01/01/05:31:14.395000,353,0,0,,0.018,0.128,0.09,0.1,0.082,0.02,0.082,0.138,1.435
1970/01/01/05:31:14.495000,354,0,0,,0.0183,0.127,0.09,0.1,0.083,0.02,0.083,0.137,1.426
1970/01/01/05:31:14.596000,355,0,0,,0.0184,0.127,0.09,0.1,0.084,0.02,0.084,0.135,1.417
1970/01/01/05:31:14.696000,356,0,0,,0.0181,0.126,0.09,0.1,0.084,0.02,0.084,0.132,1.408
1970/01/01/05:31:14.796000,357,0,0,,0.0184,0.125,0.09,0.1,0.085,0.02,0.085,0.131,1.399
1970/01/01/05:31:14.895000,358,0,0,,0.0186,0.124,0.09,0.1,0.086,0.02,0.086,0.13,1.39
1970/01/01/05:31:14.995000,359,0,0,,0.0186,0.123,0.09,0.1,0.087,0.02,0.087,0.127,1.38
1970/01/01/05:31:15.094000,360,0,0,,0.0187,0.123,0.09,0.1,0.088,0.02,0.088,0.125,1.372
1970/01/01/05:31:15.194000,361,0,0,,0.0188,0.122,0.09,0.1,0.089,0.02,0.089,0.123,1.362
1970/01/01/05:31:15.294000,362,0,0,,0.0188,0.121,0.09,0.1,0.089,0.02,0.089,0.122,1.353
1970/01/01/05:31:15.396000,363,0,0,,0.0189,0.12,0.09,0.1,0.09,0.02,0.09,0.12,1.345
1970/01/01/05:31:15.494000,364,0,0,,0.019,0.12,0.09,0.1,0.091,0.02,0.091,0.118,1.337
1970/01/01/05:31:15.595000,365,0,0,,0.0191,0.118,0.09,0.1,0.092,0.02,0.092,0.116,1.326
1970/01/01/05:31:15.695000,366,0,0,,0.0189,0.118,0.09,0.1,0.092,0.02,0.092,0.114,1.318
1970/01/01/05:31:15.795000,367,0,0,,0.019,0.117,0.09,0.1,0.093,0.02,0.093,0.112,1.309
1970/01/01/05:31:15.895000,368,0,0,,0.0193,0.116,0.09,0.1,0.094,0.02,0.094,0.111,1.301
1970/01/01/05:31:15.995000,369,0,0,,0.019,0.115,0.09,0.1,0.094,0.02,0.094,0.109,1.292
1970/01/01/05:31:16.095000,370,0,0,,0.0189,0.115,0.09,0.1,0.094,0.02,0.094,0.107,1.284
1970/01/01/05:31:16.195000,371,0,0,,0.0191,0.114,0.09,0.1,0.095,0.02,0.095,0.106,1.274
1970/01/01/05:31:16.295000,372,0,0,,0.0193,0.113,0.09,0.1,0.096,0.02,0.096,0.105,1.266
1970/01/01/05:31:16.394000,373,0,0,,0.0191,0.112,0.09,0.1,0.096,0.02,0.096,0.103,1.258
1970/01/01/05:31:16.494000,374,0,0,,0.0192,0.112,0.09,0.1,0.097,0.02,0.097,0.101,1.249
1970/01/01/05:31:16.596000,375,0,0,,0.0194,0.111,0.09,0.1,0.098,0.02,0.098,0.1,1.24
1970/01/01/05:31:16.695000,376,0,0,,0.0192,0.11,0.09,0.1,0.098,0.02,0.098,0.098,1.232
1970/01/01/05:31:16.794000,377,0,0,,0.0194,0.109,0.09,0.1,0.099,0.02,0.099,0.097,1.223
1970/01/01/05:31:16.894000,378,0,0,,0.0196,0.109,0.09,0.1,0.1,0.02,0.1,0.096,1.215
1970/01/01/05:31:16.996000,379,0,0,,0.0194,0.108,0.09,0.1,0.1,0.02,0.1,0.094,1.207
1970/01/01/05:31:17.095000,380,0,0,,0.0195,0.107,0.09,0.1,0.101,0.02,0.101,0.092,1.198
1970/01/01/05:31:17.195000,381,0,0,,0.0197,0.106,0.09,0.1,0.102,0.02,0.102,0.091,1.189
1970/01/01/05:31:17.294000,382,0,0,,0.0194,0.105,0.09,0.1,0.102,0.02,0.102,0.089,1.181
