time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:31:34.729000,1,0,0,,0.0515,0.294,0.09,0.1,-0.696,0.02,0,0.622,3.279
1970/01/01/05:31:34.831000,2,0,0,,0.0464,0.292,0.09,0.1,-0.69,0.02,0,0.623,3.261
1970/01/01/05:31:34.929000,3,0,0,,0.0468,0.291,0.09,0.1,-0.688,0.02,0,0.62,3.248
1970/01/01/05:31:35.030000,4,0,0,,0.0433,0.289,0.09,0.1,-0.685,0.02,0,0.622,3.231
1970/01/01/05:31:35.129000,5,0,0,,0.0391,0.287,0.09,0.1,-0.683,0.02,0,0.626,3.211
1970/01/01/05:31:35.230000,6,0,0,,0.0335,0.285,0.09,0.1,-0.681,0.02,0,0.632,3.19
1970/01/01/05:31:35.330000,7,0,0,,0.0274,0.283,0.09,0.1,-0.68,0.02,0,0.64,3.17
1970/01/01/05:31:35.430000,8,0,0,,0.0199,0.281,0.09,0.1,-0.679,0.02,0,0.65,3.145
1970/01/01/05:31:35.530000,9,0,0,,0.0118,0.278,0.09,0.1,-0.678,0.02,0,0.661,3.121
1970/01/01/05:31:35.629000,10,0,0,,0.0043,0.276,0.09,0.1,-0.677,0.02,0,0.671,3.097
1970/01/01/05:31:35.731000,11,0,0,,0.0038,0.274,0.09,0.1,-0.676,0.02,0,0.682,3.073
1970/01/01/05:31:35.828000,12,0,0,,0.0139,0.272,0.09,0.1,-0.674,0.02,0,0.695,3.047
1970/01/01/05:31:35.930000,13,0,0,,0.0219,0.269,0.09,0.1,-0.672,0.02,0,0.705,3.022
1970/01/01/05:31:36.031000,14,0,0,,0.0287,0.268,0.09,0.1,-0.671,0.02,0,0.714,2.999
1970/01/01/05:31:36.131000,15,0,0,,0.0372,0.265,0.09,0.1,-0.669,0.02,0,0.725,2.974
1970/01/01/05:31:36.229000,16,0,0,,0.0432,0.263,0.09,0.1,-0.668,0.02,0,0.733,2.951
1970/01/01/05:31:36.330000,17,0,0,,0.0522,0.26,0.09,0.1,-0.664,0.02,0,0.743,2.924
1970/01/01/05:31:36.429000,18,0,0,,0.0598,0.259,0.09,0.1,-0.66,0.02,0,0.751,2.9
1970/01/01/05:31:36.529000,19,0,0,,0.0678,0.256,0.09,0.1,-0.654,0.02,0,0.758,2.876
1970/01/01/05:31:36.628000,20,0,0,,0.0754,0.254,0.09,0.1,-0.647,0.02,0,0.764,2.853
1970/01/01/05:31:36.729000,21,0,0,,0.0822,0.253,0.09,0.1,-0.639,0.02,0,0.768,2.833
1970/01/01/05:31:36.831000,22,0,0,,0.0886,0.252,0.09,0.1,-0.63,0.02,0,0.771,2.815
1970/01/01/05:31:36.929000,23,0,0,,0.0939,0.25,0.09,0.1,-0.619,0.02,0,0.771,2.799
1970/01/01/05:31:37.029000,24,0,0,,0.0983,0.25,0.09,0.1,-0.608,0.02,0,0.77,2.787
1970/01/01/05:31:37.130000,25,0,0,,0.1012,0.249,0.09,0.1,-0.596,0.02,0,0.766,2.78
1970/01/01/05:31:37.231000,26,0,0,,0.1017,0.25,0.09,0.1,-0.585,0.02,0,0.759,2.778
1970/01/01/05:31:37.331000,27,0,0,,0.101,0.251,0.09,0.1,-0.574,0.02,0,0.75,2.781
1970/01/01/05:31:37.430000,28,0,0,,0.0984,0.252,0.09,0.1,-0.565,0.02,0,0.739,2.791
1970/01/01/05:31:37.531000,29,0,0,,0.0955,0.253,0.09,0.1,-0.555,0.02,0,0.727,2.8
1970/01/01/05:31:37.631000,30,0,0,,0.0923,0.254,0.09,0.1,-0.546,0.02,0,0.715,2.808
1970/01/01/05:31:37.729000,31,0,0,,0.0909,0.254,0.09,0.1,-0.535,0.02,0,0.705,2.814
1970/01/01/05:31:37.831000,32,0,0,,0.0891,0.254,0.09,0.1,-0.524,0.02,0,0.694,2.819
1970/01/01/05:31:37.931000,33,0,0,,0.0866,0.255,0.09,0.1,-0.515,0.02,0,0.683,2.826
1970/01/01/05:31:38.031000,34,0,0,,0.0842,0.256,0.09,0.1,-0.504,0.02,0,0.671,2.833
1970/01/01/05:31:38.129000,35,0,0,,0.0816,0.256,0.09,0.1,-0.494,0.02,0,0.659,2.84
1970/01/01/05:31:38.230000,36,0,0,,0.0794,0.257,0.09,0.1,-0.484,0.02,0,0.648,2.845
1970/01/01/05:31:38.330000,37,0,0,,0.0768,0.257,0.09,0.1,-0.474,0.02,0,0.636,2.851
1970/01/01/05:31:38.429000,38,0,0,,0.0744,0.258,0.09,0.1,-0.465,0.02,0,0.625,2.856
1970/01/01/05:31:38.530000,39,0,0,,0.0701,0.259,0.09,0.1,-0.457,0.02,0,0.61,2.866
