time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/05:31:34.729000,-0.294,0.0,0.0,0.0,0.0,0.2105
1970/01/01/05:31:34.831000,-0.292,0.0,0.0,0.0,0.0,0.2569
1970/01/01/05:31:34.929000,-0.291,0.0,0.0,0.0,0.0,0.3037
1970/01/01/05:31:35.030000,-0.289,0.0,0.0,0.0,0.0,0.34700000000000003
1970/01/01/05:31:35.129000,-0.287,0.0,0.0,0.0,0.0,0.38610000000000005
1970/01/01/05:31:35.230000,-0.285,0.0,0.0,0.0,0.0,0.4196000000000001
1970/01/01/05:31:35.330000,-0.283,0.0,0.0,0.0,0.0,0.44700000000000006
1970/01/01/05:31:35.431000,-0.281,0.0,0.0,0.0,0.0,0.4669000000000001
1970/01/01/05:31:35.530000,-0.278,0.0,0.0,0.0,0.0,0.47870000000000007
1970/01/01/05:31:35.629000,-0.276,0.0,0.0,0.0,0.0,0.4830000000000001
1970/01/01/05:31:35.731000,-0.274,0.0,0.0,0.0,0.0,0.47920000000000007
1970/01/01/05:31:35.828000,-0.272,0.0,0.0,0.0,0.0,0.46530000000000005
1970/01/01/05:31:35.930000,-0.269,0.0,0.0,0.0,0.0,0.44340000000000007
1970/01/01/05:31:36.031000,-0.268,0.0,0.0,0.0,0.0,0.41470000000000007
1970/01/01/05:31:36.131000,-0.265,0.0,0.0,0.0,0.0,0.37750000000000006
1970/01/01/05:31:36.229000,-0.263,0.0,0.0,0.0,0.0,0.33430000000000004
1970/01/01/05:31:36.330000,-0.26,0.0,0.0,0.0,0.0,0.2821
1970/01/01/05:31:36.430000,-0.259,0.0,0.0,0.0,0.0,0.22230000000000003
1970/01/01/05:31:36.530000,-0.256,0.0,0.0,0.0,0.0,0.15450000000000003
1970/01/01/05:31:36.628000,-0.254,0.0,0.0,0.0,0.0,0.07910000000000003
1970/01/01/05:31:36.730000,-0.253,0.0,0.0,0.0,0.0,-0.003099999999999964
1970/01/01/05:31:36.831000,-0.252,0.0,0.0,0.0,0.0,-0.09169999999999996
1970/01/01/05:31:36.929000,-0.25,0.0,0.0,0.0,0.0,-0.18559999999999996
1970/01/01/05:31:37.029000,-0.25,0.0,0.0,0.0,0.0,-0.28389999999999993
1970/01/01/05:31:37.130000,-0.249,0.0,0.0,0.0,0.0,-0.38509999999999994
1970/01/01/05:31:37.231000,-0.25,0.0,0.0,0.0,0.0,-0.48679999999999995
1970/01/01/05:31:37.331000,-0.251,0.0,0.0,0.0,0.0,-0.5878
1970/01/01/05:31:37.430000,-0.252,0.0,0.0,0.0,0.0,-0.6862
1970/01/01/05:31:37.531000,-0.253,0.0,0.0,0.0,0.0,-0.7817000000000001
1970/01/01/05:31:37.631000,-0.254,0.0,0.0,0.0,0.0,-0.8740000000000001
1970/01/01/05:31:37.729000,-0.254,0.0,0.0,0.0,0.0,-0.9649000000000001
1970/01/01/05:31:37.831000,-0.254,0.0,0.0,0.0,0.0,-1.054
1970/01/01/05:31:37.931000,-0.255,0.0,0.0,0.0,0.0,-1.1406
1970/01/01/05:31:38.031000,-0.256,0.0,0.0,0.0,0.0,-1.2248
1970/01/01/05:31:38.129000,-0.256,0.0,0.0,0.0,0.0,-1.3064
1970/01/01/05:31:38.230000,-0.257,0.0,0.0,0.0,0.0,-1.3858
1970/01/01/05:31:38.330000,-0.257,0.0,0.0,0.0,0.0,-1.4626
1970/01/01/05:31:38.429000,-0.258,0.0,0.0,0.0,0.0,-1.537
1970/01/01/05:31:38.530000,-0.259,0.0,0.0,0.0,0.0,-1.6071
1970/01/01/05:31:38.630000,-0.26,0.0,0.0,0.0,0.0,-1.6729
1970/01/01/05:31:38.730000,-0.26,0.0,0.0,0.0,0.0,-1.7352
